taskId,name,date,time,city,address,contact number,contact name,notes,region,longitude,latitude,volunteerUid,reportFilled,reportFieldNum,foodDesc1,foodContainerType1,foodContainerQuantity1,foodQuantity1,foodDesc2,foodContainerType2,foodContainerQuantity2,foodQuantity2
1,מאפיית ג'ייקובס,2019-06-06,20:30:00,רמת השרון,החרושת 19,0545-213162,אושרית,נא לא לאחר,שרון,32.129492,34.859082,hBlwG5ccrLgmWsLqOyAyztQYsun1,TRUE,2,מאפים,שקית,1,20,לחם,שק,3,36
2,בנדיקט מתחם קניון G + מאפיית שמו קניון G,2019-06-07,21:30:00,כפר סבא,וייצמן 207,0545-213163,אושרית,נא לא לאחר,שרון,32.172256,34.928049,hBlwG5ccrLgmWsLqOyAyztQYsun1,FALSE,,,,,,,,,
3,טוצ'קה,2019-06-08,20:00:00,פתח תקווה,יצחק רבין 6,0545-213164,אושרית,נא לא לאחר,שרון,32.089109,34.861843,hBlwG5ccrLgmWsLqOyAyztQYsun1,TRUE,1,מאפים,קרטון,1,10,,,,
4,מאפיית המשפחה,2019-06-09,20:30:00,הרצליה,סוקולוב 34,0545-213165,אושרית,נא לא לאחר,שרון,32.167413,34.844176,,FALSE,,,,,,,,,
5,מאפיית לחמים רמת השרון,2019-06-10,20:00:00,רמת השרון,אוסישקין 23,0545-213166,אושרית,נא לא לאחר,שרון,32.140213,34.842006,,FALSE,,,,,,,,,
6,"צ'וקה - סניף קניון ערים כפ""ס",2019-06-11,22:00:00,כפר סבא,ברל כצנלסון 14,0545-213167,אושרית,נא לא לאחר,שרון,32.17885,34.905129,,FALSE,,,,,,,,,
7,זקס בייקרי רעננה,2019-06-12,21:30:00,רעננה,החרושת 16,0545-213168,אושרית,נא לא לאחר,שרון,32.196537,34.880737,,FALSE,,,,,,,,,
1,מאפיית ג'ייקובס,2019-06-13,20:30:00,רמת השרון,החרושת 19,0545-213162,אושרית,נא לא לאחר,שרון,32.129492,34.859082,,FALSE,,,,,,,,,
2,בנדיקט מתחם קניון G + מאפיית שמו קניון G,2019-06-14,21:30:00,כפר סבא,וייצמן 207,0545-213163,אושרית,נא לא לאחר,שרון,32.172256,34.928049,,FALSE,,,,,,,,,
3,טוצ'קה,2019-06-15,20:00:00,פתח תקווה,יצחק רבין 6,0545-213164,אושרית,נא לא לאחר,שרון,32.089109,34.861843,,FALSE,,,,,,,,,
4,מאפיית המשפחה,2019-06-16,20:30:00,הרצליה,סוקולוב 34,0545-213165,אושרית,נא לא לאחר,שרון,32.167413,34.844176,,FALSE,,,,,,,,,
5,מאפיית לחמים רמת השרון,2019-06-17,20:00:00,רמת השרון,אוסישקין 23,0545-213166,אושרית,נא לא לאחר,שרון,32.140213,34.842006,,FALSE,,,,,,,,,
6,"צ'וקה - סניף קניון ערים כפ""ס",2019-06-18,22:00:00,כפר סבא,ברל כצנלסון 14,0545-213167,אושרית,נא לא לאחר,שרון,32.17885,34.905129,,FALSE,,,,,,,,,
7,זקס בייקרי רעננה,2019-06-19,21:30:00,רעננה,החרושת 16,0545-213168,אושרית,נא לא לאחר,שרון,32.196537,34.880737,,FALSE,,,,,,,,,
1,מאפיית ג'ייקובס,2019-06-20,20:30:00,רמת השרון,החרושת 19,0545-213162,אושרית,נא לא לאחר,שרון,32.129492,34.859082,,FALSE,,,,,,,,,
2,בנדיקט מתחם קניון G + מאפיית שמו קניון G,2019-06-21,21:30:00,כפר סבא,וייצמן 207,0545-213163,אושרית,נא לא לאחר,שרון,32.172256,34.928049,,FALSE,,,,,,,,,
3,טוצ'קה,2019-06-22,20:00:00,פתח תקווה,יצחק רבין 6,0545-213164,אושרית,נא לא לאחר,שרון,32.089109,34.861843,,FALSE,,,,,,,,,
4,מאפיית המשפחה,2019-06-23,20:30:00,הרצליה,סוקולוב 34,0545-213165,אושרית,נא לא לאחר,שרון,32.167413,34.844176,,FALSE,,,,,,,,,
5,מאפיית לחמים רמת השרון,2019-06-24,20:00:00,רמת השרון,אוסישקין 23,0545-213166,אושרית,נא לא לאחר,שרון,32.140213,34.842006,,FALSE,,,,,,,,,
6,"צ'וקה - סניף קניון ערים כפ""ס",2019-06-25,22:00:00,כפר סבא,ברל כצנלסון 14,0545-213167,אושרית,נא לא לאחר,שרון,32.17885,34.905129,,FALSE,,,,,,,,,
7,זקס בייקרי רעננה,2019-06-26,21:30:00,רעננה,החרושת 16,0545-213168,אושרית,נא לא לאחר,שרון,32.196537,34.880737,,FALSE,,,,,,,,,
